User,Tweets,Tweets_with_Emoji,Race
745011406408290304,0,0,asian
1378530710,13,3,white
17439820,1683,95,white
1858782266,180,95,white
3207346461,951,5,white
2782504623,1662,36,white
914606640,0,0,white
134933749,2346,536,black
2727586684,0,0,black
738855490193489920,361,8,asian
755114218685337602,546,154,hispanic
733654125880152064,368,54,hispanic
956785593945649152,4,4,white
885525377237434369,16,11,asian
17091056,508,47,white
243080755,2595,2271,white
467844355,0,0,hispanic
881004374952161280,2446,186,black
2474966630,0,0,white
635936230,827,264,black
2584533817,1014,346,hispanic
27978188,1903,515,white
880851720246611968,124,24,white
85662606,78,49,white
272739018,0,0,black
973800775704039425,2272,490,asian
3020739812,0,0,asian
1090090759,1284,110,black
914187277181554688,314,45,white
936101422986289152,273,3,white
899346401783672835,285,187,white
840375240471400448,29,1,white
754869205262934016,0,0,asian
614022503,55,17,white
290076402,1958,242,white
839390943144914944,15,2,asian
312602925,3225,0,asian
949074524577943554,0,0,white
573356282,0,0,asian
772351515855949825,0,0,asian
42211806,765,30,asian
702245912,172,8,asian
716978155,618,87,black
959412320794435584,896,592,white
755860977351004160,111,63,white
