User,Tweets,Tweets_with_Emoji,Race
855787920401346560,82,12,white
842067448706797573,211,3,hispanic
762671333201223680,385,50,asian
1544304907,36,10,asian
50636347,1750,1,white
973231830123073536,202,77,white
795466851853762561,113,4,white
611521569,372,210,black
2374690364,113,25,black
3805257737,134,3,black
66800461,124,3,white
27315204,1236,260,black
3419083090,7,6,white
209881576,673,1,white
1409248465,587,190,black
2370926503,65,39,white
958358228676501506,41,3,asian
861526300132909057,311,28,asian
889296608,1705,1081,black
423378923,550,8,hispanic
806507568562601985,310,83,white
871348539443396608,258,217,asian
2660128406,903,1,white
1134345763,1597,670,white
760123674,154,17,white
890352776634449920,58,1,white
57358236,1605,384,white
3431240609,529,5,white
3103539284,255,70,black
714997513145696257,152,11,hispanic
19805682,622,86,white
1918186452,231,29,white
756711539890130944,631,327,asian
896861660865978369,3266,12,asian
969557933334974464,47,1,white
883309098267267072,6,1,white
3213697075,2911,159,white
739056401104785409,64,3,asian
4670467033,615,103,white
783333366586286082,202,9,white
259245050,130,35,asian
4009155676,1426,299,black
950884872263843840,593,146,asian
4141906828,212,93,white
812870854476369920,68,17,asian
40148116,93,25,white
876431634685284356,96,46,asian
289796919,562,13,white
3011096498,724,396,hispanic
2535464954,429,1,white
102693684,116,2,white
702981302,231,4,white
21645623,103,59,white
71107949,230,89,white
367236983,282,183,black
973249646926561281,6,4,hispanic
2506163239,226,33,white
185761143,1059,587,black
741794708,60,2,black
2637862377,406,186,white
771863535211147264,2515,240,white
2807311831,197,8,white
390403353,413,39,white
290696152,2036,102,hispanic
468831150,77,70,white
2788289169,2790,85,black
34090371,685,120,asian
320336185,376,8,white
2726347072,668,227,black
860816490546819074,530,173,black
3490259472,49,7,black
585018986,1499,271,white
519341792,127,58,black
711706407603580929,1470,42,white
897136244651683840,1944,495,white
952435380187381761,2740,136,asian
3278208625,21,8,white
893628704814845952,3216,10,asian
304622187,2829,158,white
853585540460945408,233,115,white
1615625815,18,18,white
1317927918,2318,308,white
890169535,330,203,white
585191934,238,67,white
118175886,861,92,white
517805782,3223,6,white
1532212026,174,138,asian
2962458799,945,584,asian
112570974,280,129,hispanic
515333969,44,36,white
459754543,678,50,black
920321384752013312,224,33,white
1704679736,56,25,white
4517927663,303,86,white
756955285516906496,806,268,black
743457527665295360,545,142,asian
883601550,32,20,white
493486340,14,1,white
703742265815130112,104,6,black
1585130407,94,8,other
737562925,743,49,white
1092840577,1052,125,white
486685426,16,5,white
916823853661167616,3229,407,asian
130350952,478,91,hispanic
3228584158,710,174,white
2983205608,269,202,white
986585275,100,6,asian
152849161,2730,2,white
796038073238876162,81,7,black
3918424527,374,37,white
42176777,3193,5,white
842136471188443137,135,2,white
46455268,54,9,white
2550974234,687,149,white
772612997432967168,2697,178,white
129306477,3254,3254,white
881359703879569408,157,28,asian
49155268,101,13,white
37453325,146,15,white
881424148286758912,10,7,asian
3313159745,94,42,white
238217317,1018,40,white
189920877,456,38,black
881150236101455872,1335,752,asian
72699327,298,95,white
759109937297551365,174,2,white
958085050188402688,1339,300,asian
823399057032757248,3158,259,asian
2314281522,22,3,white
303880586,326,11,black
4804702454,32,8,white
777897726864338944,645,49,hispanic
463884015,341,34,asian
749525130397691904,87,6,asian
880618729,919,699,black
386426985,2924,554,white
729709226348707840,22,11,white
770319560369111042,1166,317,hispanic
910992040485376001,1019,174,hispanic
773632431433875456,3171,708,white
713163484486217728,813,137,asian
2259384936,1000,63,white
970432227359252483,990,192,asian
4754192234,21,19,black
809845348801908738,282,282,white
384535851,1366,157,white
1283925510,46,2,white
768106876303056896,1792,68,asian
2220058647,29,27,white
961289431117451264,423,4,white
1461314485,819,135,white
786869608263262208,2379,527,asian
253883349,184,19,asian
920620712456605696,78,4,white
161965308,1567,379,black
3463818317,213,2,white
68140362,50,20,white
763804241282543617,86,1,white
1927440559,134,18,white
888352988527558657,60,54,hispanic
852903292728479744,1812,199,white
275431215,1504,623,black
755690756430372864,240,1,white
399059223,1274,739,white
61939594,734,724,white
201731356,1392,119,asian
3010469552,32,7,white
1944731492,525,123,asian
1365663320,743,42,black
329767842,342,3,white
861086022494437376,13,10,asian
