User,Tweets,Tweets_with_Emoji,Gender
895496646339047425,1503,496,female
811913072,537,192,female
777960774438232064,12,7,male
366491124,61,38,male
115153429,1993,443,female
3617010500,378,15,male
64429749,766,161,female
943151168406122497,340,27,female
776437590,79,13,female
184632904,1928,279,male
3551536393,320,131,female
851538157220876289,384,13,male
16443470,1893,82,female
907088306801868803,18,14,female
844258630073569282,1068,1008,male
845360822788521985,1371,282,female
307564259,1430,535,male
529531366,136,26,male
622560801,195,90,male
403174684,2219,627,male
4371401735,3,1,female
1567236294,396,44,female
971246278205112320,42,2,female
240302734,38,15,female
935535732998803456,247,2,male
1850461922,604,145,female
862289017034997761,60,6,female
2409446210,2795,29,female
954364959827296257,2162,1737,female
895496184462065664,964,389,male
891010634577477634,123,8,female
230900679,817,269,female
1622252078,19,16,male
1708898564,1064,2,male
202763612,1384,169,female
2489409522,3225,988,female
2490286364,651,91,male
2871593247,1058,486,female
109924054,328,5,male
593974692,1681,355,male
2812318134,230,114,female
17912213,1688,31,male
249617282,2360,1546,female
3990257763,250,80,female
135619334,1168,485,female
819514611024044032,2,1,male
727536651405254656,249,48,female
309353979,144,118,female
2328152306,210,35,male
729686595498967040,122,7,female
4701792224,135,87,male
2804956045,173,1,male
2377937124,1833,314,female
717476455425376259,1928,664,female
4333868122,26,4,female
863554443161329668,212,72,male
2654830493,3,2,female
725752411,112,84,female
905245782617546752,1046,175,male
861744738847862784,87,68,female
1056123570,694,43,female
4704971742,263,7,male
625074194,803,409,male
48580870,3012,377,male
33092338,1476,384,female
2868147093,137,1,female
1447020739,1534,388,male
26682471,240,26,female
422523416,23,4,male
3022860038,65,37,female
728695006068940800,624,70,female
947804901702115329,586,376,male
712237808,324,180,male
83353811,3027,32,male
954165111840686080,725,11,male
4280419455,711,350,female
788227566461214724,73,13,male
810297944234725376,2109,855,male
166656039,597,126,female
850600919423209472,1159,2,male
1378530710,13,3,female
17439820,1683,95,male
1858782266,180,95,female
3207346461,951,5,female
2782504623,1662,36,male
134933749,2346,536,male
738855490193489920,361,8,male
755114218685337602,546,154,male
733654125880152064,368,54,female
956785593945649152,4,4,female
885525377237434369,16,11,female
17091056,508,47,female
243080755,2595,2271,male
881004374952161280,2446,186,female
635936230,827,264,male
2584533817,1014,346,female
27978188,1903,515,female
880851720246611968,124,24,male
85662606,78,49,male
950231768346628096,112,9,male
742188752357982208,876,214,female
973800775704039425,2272,490,male
1090090759,1284,110,male
914187277181554688,314,45,male
936101422986289152,273,3,female
899346401783672835,285,187,female
840375240471400448,29,1,female
614022503,55,17,female
290076402,1958,242,female
839390943144914944,15,2,male
2739463404,1467,459,male
93443762,2078,45,male
42211806,765,30,female
2276048761,326,137,female
702245912,172,8,female
716978155,618,87,male
959412320794435584,896,592,male
755860977351004160,111,63,female
4795183033,96,1,female
705962144,46,35,female
885807598510854145,759,280,male
576597864,1077,87,female
846695748423045121,21,2,male
53237035,576,64,female
258045316,2360,302,male
144784192,58,20,female
776623707200557056,1460,818,male
780117372099235841,2059,147,female
910820413487190016,677,246,female
182401982,373,7,female
535644153,801,253,male
846642733183881216,481,5,male
748606083825012736,2256,124,female
512162842,731,185,male
61590126,248,110,female
107549700,1544,12,male
150363007,1113,635,male
726224814466293760,1304,151,female
