User,Tweets,Tweets_with_Emoji,Gender,Race
608006895,412,136,male,asian
1242278672,185,124,,
829314720289153025,303,0,male,white
948956838384435200,0,0,,
4862955499,0,0,female,asian
2527083532,493,1,,
2155788596,1677,100,,
916064796021284866,0,0,,
2920132812,3237,0,,
571500171,255,1,female,white
413610827,1131,18,,
748450148569710592,1718,1655,,
2735865261,0,0,female,
3536956993,94,15,male,white
4807653972,3205,0,,
766596492631023617,0,0,,
158415294,62,7,female,hispanic
861532168622919680,735,735,,
4487271673,346,9,,
2465559803,0,0,,
851203889445711873,0,0,male,asian
2812058677,1009,26,,
935340609878892544,3265,0,female,asian
956227805213331456,658,65,female,white
893242811104894976,425,18,,
290843573,97,3,female,white
950074217684496385,56,27,,
887937929103908865,124,69,,
522650466,247,10,male,hispanic
939741810913558528,0,0,female,asian
3357427702,0,0,,
707060546093191168,367,60,,
459185041,0,0,,
2148257646,160,4,,
953797207949479937,1963,146,female,white
751247509,469,64,,
572177064,14,8,male,white
1952541090,621,27,male,white
854427301240610816,1145,445,female,white
106089650,1618,1,,
739250059091419136,146,4,,
829121802882387971,0,0,,
1023844944,73,5,,
846746621614292992,660,42,,
219248343,2715,28,,
445200382,1107,226,,
247696559,0,0,,
806858425439293440,0,0,male,white
1513772221,2593,155,,
940971621476634624,2496,1296,,
2976755428,0,0,,
967067731597111296,0,0,,
858450754083975168,0,0,,
705262884608081921,2999,734,,
1646584130,3084,233,,
916288935239790592,798,4,,
2542825476,465,47,female,
496537568,0,0,female,white
2395802540,1386,65,,
884789699675607042,692,0,,
598384677,306,197,female,
2862541295,400,12,,
1270784102,1505,107,,
952158852107022336,0,0,,
888431978416152578,149,8,male,white
879001915258003456,112,14,male,white
238476503,96,80,male,white
70114842,142,23,female,
755594533954465793,0,0,,asian
928938138059399169,1635,813,,
738050805371113472,481,67,,
4580280377,231,2,,
806522950476267522,63,36,female,
1597754316,189,33,male,
3261535359,4,3,male,white
880831404971610112,1927,844,male,white
1230572460,269,5,,
934129967180288000,0,0,,
2867489586,58,3,,
2906388768,0,0,,
755492302190092289,133,35,,
406216921,117,67,female,white
240456007,0,0,male,
242704195,0,0,male,white
3033748105,344,130,female,white
4845251286,621,88,,
1632635538,46,3,,
795802378083528704,620,99,,
2863238295,2745,53,,
932190146652286976,176,39,,
569144508,858,318,,
2432256200,0,0,,
127450393,318,139,female,
331273441,1356,72,,
821437564313858055,0,0,,
574950487,1178,434,male,black
837986323310915584,302,48,male,hispanic
2703241995,77,0,female,white
3134034306,33,4,female,white
906913110371520512,23,1,female,white
3547318393,1757,680,female,black
1320236970,20,7,,
59187230,0,0,female,black
873900766599069697,1573,0,,
48710458,458,50,,
971861620895899648,488,47,male,asian
3195103231,0,0,,
850740341904785408,3247,183,,
2880676052,3186,275,female,white
635649604,60,31,,
3229658066,190,5,,
120879803,2773,356,male,asian
1916454788,647,100,female,asian
868340140300685312,143,5,male,white
4864473809,1545,46,male,white
813455177097367552,1157,606,,
715718820959272960,235,14,,
269043287,69,0,,
3699544632,2727,287,female,white
702876847802097664,1503,44,female,
1199529102,271,30,male,white
236605501,307,105,female,
2921833037,217,1,,
751926628847091712,0,0,,
2852544186,738,19,male,asian
143459234,2173,110,,
957134201219772416,1170,968,male,asian
916716740956041216,0,0,male,white
882586115198398465,0,0,male,black
537171034,3011,3,,
66646172,0,0,female,hispanic
390081087,1053,477,,
842538103747227649,3235,0,male,asian
853156132067475456,450,12,male,white
1052842670,1078,573,female,
1658528028,15,6,female,
1916188208,0,0,female,asian
3108080456,133,3,,
363195936,154,34,male,black
768455971584761856,52,15,male,
421407149,3229,0,,
973473376999108608,248,0,female,asian
4076387659,629,541,,
797895466855833600,1378,74,female,
903038533086187521,0,0,male,
873449959793639425,6,0,,
