Emoji,P-value,ethnicity
🧜🏿‍♀️,7.53837748490017e-11,not hispanic
🇪🇨,7.53837748490017e-11,not hispanic
🚴🏼,7.53837748490017e-11,not hispanic
👨‍👧‍👦,7.53837748490017e-11,not hispanic
🤵🏽,7.53837748490017e-11,not hispanic
💆🏿‍♂️,7.53837748490017e-11,not hispanic
🔃,7.53837748490017e-11,not hispanic
🙇🏼‍♂️,7.53837748490017e-11,not hispanic
🇦🇶,7.53837748490017e-11,not hispanic
💇🏾‍♂️,7.53837748490017e-11,not hispanic
🇦🇮,7.53837748490017e-11,not hispanic
🇭🇳,7.53837748490017e-11,not hispanic
💇🏾‍♀️,7.53837748490017e-11,not hispanic
🗾,7.53837748490017e-11,not hispanic
👧🏾,7.53837748490017e-11,not hispanic
🇲🇪,7.53837748490017e-11,not hispanic
♈,7.53837748490017e-11,not hispanic
🕵🏽‍♂️,7.53837748490017e-11,not hispanic
💇,7.53837748490017e-11,not hispanic
💇🏿‍♂️,7.53837748490017e-11,not hispanic
👩🏼‍💼,7.53837748490017e-11,not hispanic
👩🏾‍🏫,7.53837748490017e-11,not hispanic
👮🏿‍♂️,7.53837748490017e-11,not hispanic
🏋🏽‍♂️,7.53837748490017e-11,not hispanic
👨‍💼,7.53837748490017e-11,not hispanic
🧳,7.53837748490017e-11,not hispanic
🧖‍♂️,7.53837748490017e-11,not hispanic
🕵🏾‍♂️,7.53837748490017e-11,not hispanic
🚵🏻‍♀️,7.53837748490017e-11,not hispanic
👳🏾,7.53837748490017e-11,not hispanic
👩‍👦‍👦,7.53837748490017e-11,not hispanic
🕖,7.53837748490017e-11,not hispanic
🤶🏻,7.53837748490017e-11,not hispanic
🇦🇫,7.53837748490017e-11,not hispanic
👩🏼‍🔧,7.53837748490017e-11,not hispanic
🧙🏽‍♂️,7.53837748490017e-11,not hispanic
👩🏿‍🔬,7.53837748490017e-11,not hispanic
🌁,7.53837748490017e-11,not hispanic
👃🏽,7.53837748490017e-11,not hispanic
🇧🇴,7.53837748490017e-11,not hispanic
🇬🇮,7.53837748490017e-11,not hispanic
🏊🏽‍♀️,7.53837748490017e-11,not hispanic
👨🏻‍⚖️,7.53837748490017e-11,not hispanic
🙎🏽‍♀️,7.53837748490017e-11,not hispanic
👩🏿‍💻,7.53837748490017e-11,not hispanic
🚵🏼‍♀️,7.53837748490017e-11,not hispanic
👨🏻‍🎤,7.53837748490017e-11,not hispanic
🇱🇺,7.53837748490017e-11,not hispanic
🎅🏽,7.53837748490017e-11,not hispanic
👨🏽‍🎓,7.53837748490017e-11,not hispanic
🇳🇵,7.53837748490017e-11,not hispanic
🇸🇾,7.53837748490017e-11,not hispanic
🤵🏾,7.53837748490017e-11,not hispanic
👮🏼,7.53837748490017e-11,not hispanic
🦚,7.53837748490017e-11,not hispanic
🔢,7.53837748490017e-11,not hispanic
📟,7.53837748490017e-11,not hispanic
🕟,7.53837748490017e-11,not hispanic
🦡,7.53837748490017e-11,not hispanic
👨🏾‍⚖️,7.53837748490017e-11,not hispanic
👩🏽‍⚖️,7.53837748490017e-11,not hispanic
🤦🏼,7.53837748490017e-11,not hispanic
🕝,7.53837748490017e-11,not hispanic
🙇🏼,7.53837748490017e-11,not hispanic
🇫🇴,7.53837748490017e-11,not hispanic
👨🏽‍🎤,7.53837748490017e-11,not hispanic
👩‍❤️‍👩,7.53837748490017e-11,not hispanic
👩🏾‍⚖️,7.53837748490017e-11,not hispanic
🧯,7.53837748490017e-11,not hispanic
🤜🏼,2.0536804622807247e-10,hispanic
🦆,2.715437998750531e-09,hispanic
👊🏻,4.877431882063644e-09,hispanic
😳,1.5780116803762458e-08,hispanic
👉🏽,2.623277293524702e-08,hispanic
😣,4.809760288548287e-08,hispanic
