	User	Tweets	Tweets_with_Emoji	Race
30550	302407309	338	90	white
30551	327484131	416	14	white
30584	21432269	24	2	white
30698	856529683055247360	294	94	black
30789	969588866888929280	3	1	white
30804	18068776	35	1	white
30890	4758670106	455	20	white
30900	1656547788	101	38	white
30934	125766252	243	15	white
30946	489372213	21	12	black
31299	973677891526561794	3	2	hispanic
31392	3321897166	572	191	white
31450	2633958038	55	10	white
31453	21305661	65	9	asian
31476	510810614	312	2	white
31494	129958006	65	1	white
31563	91701214	143	56	black
31613	837058345	1009	23	white
31735	738811249266462721	140	10	white
31791	965483016	79	21	white
31832	133877276	208	87	white
31855	12055512	67	6	white
31872	2346483812	753	11	black
32087	557142642	61	22	white
32103	305888658	41	17	black
32137	704464147572981760	491	37	white
32165	36957327	93	33	asian
32177	808077049	419	13	white
32180	829312873	795	157	white
32299	22882296	1478	302	black
32350	894984583820845057	563	22	black
32463	783268364	97	16	white
32566	50056441	59	7	white
32663	42680864	2161	114	white
32751	935941969154592768	164	83	black
32886	2804662920	51	14	black
32916	1694229931	829	89	black
32971	599480639	283	77	white
33203	772254484030447618	54	18	black
33477	81903101	79	25	white
33572	2512486809	138	12	white
33584	26565969	551	179	white
33681	2866236341	51	1	asian
33714	237994306	216	63	white
33955	900416033252626432	76	34	white
34046	37970080	1177	87	white
34100	182544914	175	17	white
34144	809196689441652737	323	7	white
34168	899020548	15	4	black
34297	16214742	99	3	white
34378	69880122	263	14	white
34421	14506696	1011	73	white
34484	495146524	1158	452	asian
34498	68603403	97	22	white
34576	272521469	71	23	black
34667	448607452	1362	288	white
34685	559566368	348	46	asian
35033	23265221	242	137	white
35048	708703735485112320	24	1	black
35055	877930785004818432	108	24	white
35103	564425755	40	9	white
35132	428568453	101	49	white
35173	899137239191572481	85	9	asian
35223	912419688	163	43	black
35231	102035352	300	9	white
35233	327066932	19	16	black
35381	145941677	341	6	white
35442	714532331361579012	60	16	white
35544	18435176	1851	46	white
35608	36501387	42	6	white
35622	883594514	363	55	black
35667	928133896595820549	1440	996	black
35673	825082012549648385	11	1	white
35676	3227465638	86	68	white
35904	628461996	104	1	white
35936	269247639	21	1	white
35975	5511932	397	27	white
35992	2190767724	4	2	white
36128	938645362180575232	113	36	asian
36141	705476622225379328	1696	251	white
36219	1902773106	443	73	black
36241	4207307308	3233	278	black
36331	880652171066445824	135	19	black
36390	130955825	2583	605	black
36420	1918669200	193	10	white
36426	37595827	33	10	white
36444	2176979166	408	7	black
36462	866778258196623360	257	55	white
36473	1272776588	1930	12	white
36575	960653576249970688	2214	200	black
36577	365800101	77	10	white
36743	753295726042419200	34	1	white
37002	2627911848	120	30	white
37015	84418090	3	1	white
37019	4903903415	81	2	white
37067	326535924	540	238	white
37116	368579516	197	20	white
37118	572975004	750	19	white
37188	33837819	10	7	black
37205	97321495	541	107	asian
37265	900562016502460416	39	12	white
37373	262217366	96	9	white
37374	712369580790956036	25	5	white
37536	1146736296	394	28	black
37606	150397679	2669	39	white
37630	47121785	249	7	white
37731	960231359032766471	1220	418	black
37746	704024374156902400	13	5	white
37765	460786311	10	1	black
37886	28736132	446	4	white
37911	261916953	365	318	white
37975	468224651	272	151	white
38114	715236909	450	28	white
38139	355772216	498	196	white
38312	2329625016	166	8	white
38331	515636474	69	5	white
38451	902480066675961858	25	13	black
38456	289548939	576	12	white
38532	1520507736	145	21	black
38567	19791754	1370	36	white
38591	215666861	116	12	white
38752	128402803	111	7	white
38754	946536472861134848	1538	736	black
38791	825199353618894849	206	23	white
38913	2479273629	621	21	white
38916	961908634291703808	820	61	white
38946	968665825057046528	2	2	black
38996	4856230091	9	5	white
39026	1569326526	618	142	white
39129	258001963	285	43	white
39181	2151441302	18	8	white
39330	248663321	93	46	asian
39505	131050491	163	14	white
39562	16741846	402	25	white
39623	20666354	533	44	white
39642	906902426	122	2	white
39698	3391406932	45	20	black
39800	28925129	81	1	white
39837	893169418850766848	97	15	black
39857	2546993904	64	32	black
39903	141411120	11	1	white
39909	925549224737038337	256	134	black
