,User,Tweets,Tweets_with_Emoji,True_Gender
34498,68603403,97,22,male
34515,1135344066,147,37,female
34579,1337524615,268,36,female
34594,45663324,419,29,female
34867,1510992967,199,1,male
34963,61013547,385,104,female
35006,8.83163230486581E+017,24,14,male
35019,366821173,53,17,male
35100,7.15340825929126E+017,144,33,male
35154,25479794,139,42,male
35318,180657718,288,67,female
35348,8.29031620350984E+017,32,14,male
35401,81644630,21,3,male
35546,49261446,105,60,male
35561,3711389543,851,62,female
35666,2921129342,6,1,female
35713,7.51260373152477E+017,410,61,male
35717,1583596508,158,8,male
35762,310634477,27,16,female
35772,3400601429,359,29,male
35801,9.26305655580975E+017,60,1,male
35826,211950987,30,1,male
35831,112276947,706,78,male
35837,9.30812492007248E+017,1646,160,male
35845,9.04574707302847E+017,518,71,female
35954,9.42531694959251E+017,25,1,female
36180,107290650,208,55,female
36206,878675191,101,36,female
36313,2154969070,1449,4,male
36314,1568751398,19,6,female
36354,301011806,819,27,male
36402,259171305,538,253,female
36477,7.48548355287032E+017,128,11,male
36509,8.17103054382232E+017,765,1,male
36572,8.21115419843035E+017,85,48,male
36639,245388555,20,1,female
36737,9.10161265556906E+017,147,60,female
36918,2894212415,112,30,female
36946,124340869,183,11,male
37118,572975004,750,19,female
37161,2372079460,125,67,male
37281,7.95309421425545E+017,140,21,female
37424,7.12033833420517E+017,759,154,female
37579,78671494,176,50,male
37654,22523915,823,12,female
37667,7.95455418910785E+017,1918,108,female
37711,2305035578,88,28,female
37766,341371898,12,1,female
37867,8.09217143908823E+017,3,1,female
37905,105304174,230,55,male
37920,223050126,162,25,female
37973,314207363,19,5,female
38004,15012261,76,14,male
38056,7.39997370348372E+017,381,7,female
38081,4873274259,58,45,male
38199,1893973976,182,101,female
38311,8.34430801827811E+017,53,19,female
38315,7.32930179681653E+017,16,15,female
38329,273065087,74,17,female
38345,7.26977296100286E+017,21,8,male
38387,4877960189,64,6,female
38441,3157400145,777,42,female
38532,1520507736,145,21,female
38548,2891548550,3,2,female
38632,247010105,348,132,male
38658,2737533575,22,6,male
38741,1736821550,30,2,female
38762,117228866,269,6,male
38764,7.55046675383804E+017,7,1,female
38771,30528626,140,6,male
38794,1375419768,967,201,female
38892,524934412,55,8,female
38914,253312330,22,15,female
38928,226004869,113,75,female
38960,1355861125,26,12,male
38978,241250757,265,12,male
38998,722355878,47,12,female
39014,8.57619665991991E+017,37,2,female
39130,7.45314768785912E+017,203,80,male
39148,147422431,487,263,male
39170,73297005,1033,88,female
39223,392539925,551,9,male
39256,123137992,519,234,female
39287,8.36243639974011E+017,24,7,female
39303,2499090121,5,2,female
39314,8.41398725968826E+017,437,109,female
39462,38528754,221,55,male
39604,309283109,569,104,male
39620,1580743908,172,55,male
39672,445817961,220,45,male
39695,3345187365,662,195,male
39771,19408898,28,3,female
39909,9.25549224737038E+017,256,134,male
39951,452567764,138,3,female
39971,9.47594492068102E+017,1,1,male
